iter	Logloss
0	0.6699589987
1	0.6515582677
2	0.6355902867
3	0.6218038967
4	0.6097413193
5	0.5998873794
6	0.5913349451
7	0.5836885141
8	0.5770250345
9	0.5717015143
10	0.5670344101
11	0.5631432353
12	0.5596214432
13	0.5566102328
14	0.5539547405
15	0.5516687519
16	0.5492414031
17	0.5474726873
18	0.5457208605
19	0.5441203501
20	0.5425559959
21	0.5412929442
22	0.5398745856
23	0.5390301327
24	0.5377846552
25	0.536913478
26	0.5361196922
27	0.5351681409
28	0.534502333
29	0.5338967857
30	0.5329879608
31	0.5321988507
32	0.5315759306
33	0.5310879618
34	0.5305058334
35	0.5301546699
36	0.529647192
37	0.5292178713
38	0.528919995
39	0.5284868048
40	0.5282106545
41	0.5276636344
42	0.5273026358
43	0.5269428868
44	0.5265198541
45	0.5262358438
46	0.5259502212
47	0.5256776987
48	0.5252847358
49	0.5249606997
50	0.5246826147
51	0.5245179564
52	0.5241261625
53	0.5238771799
54	0.5236444817
55	0.5234932863
56	0.5231968208
57	0.5229005569
58	0.5226660448
59	0.5224578136
60	0.5222227373
61	0.5219048682
62	0.5215827669
63	0.5213956167
64	0.5211461101
65	0.5210084985
66	0.5207285594
67	0.5204917094
68	0.5202273292
69	0.5200299408
70	0.5198672979
71	0.5197030428
72	0.5194339464
73	0.5192533665
74	0.5191242599
75	0.5189335627
76	0.5187808356
77	0.5186262141
78	0.5183529257
79	0.5182248671
80	0.517984712
81	0.5179032092
82	0.5176784113
83	0.5175349954
84	0.5174233422
85	0.5172526781
86	0.5171069243
87	0.5168530241
88	0.5166477353
89	0.5164694127
90	0.5163521566
91	0.5162323612
92	0.5161107116
93	0.5160122794
94	0.5158760786
95	0.5157258507
96	0.5155915443
97	0.5154595759
98	0.5153629173
99	0.5152380833
100	0.515020944
101	0.5148699099
102	0.5147691399
103	0.5146418471
104	0.5144729565
105	0.5143259935
106	0.5142291333
107	0.5140276336
108	0.5138471746
109	0.5137845762
110	0.5136493831
111	0.5135086275
112	0.5133519503
113	0.513166614
114	0.5130298892
115	0.5129170268
116	0.5128139592
117	0.5127312874
118	0.5126152003
119	0.5124753315
120	0.5123191782
121	0.5122108303
122	0.5121256997
123	0.5120712436
124	0.5119319391
125	0.5117705458
126	0.5116261222
127	0.5114864549
128	0.5113871359
129	0.5112748378
130	0.511141257
131	0.5110227918
132	0.5108796177
133	0.5107572425
134	0.5106328923
135	0.5105442953
136	0.5104977395
