iter	Passed	Remaining
0	21	22204
1	29	15036
2	36	12332
3	41	10685
4	47	9681
5	53	9023
6	58	8549
7	64	8193
8	70	7930
9	76	7714
10	80	7458
11	86	7283
12	91	7106
13	96	6968
14	103	6944
15	109	6910
16	116	6889
17	123	6924
18	131	6942
19	138	6970
20	147	7067
21	160	7316
22	169	7369
23	176	7342
24	183	7356
25	190	7335
26	197	7312
27	205	7300
28	211	7250
29	217	7199
30	224	7210
31	231	7178
32	239	7200
33	246	7181
34	253	7171
35	260	7144
36	266	7123
37	273	7114
38	280	7087
39	288	7102
40	295	7096
41	302	7091
42	309	7060
43	315	7025
44	322	7027
45	329	7003
46	334	6963
47	339	6914
48	344	6859
49	350	6839
50	357	6830
51	364	6817
52	371	6811
53	378	6809
54	385	6796
55	391	6777
56	398	6761
57	405	6758
58	411	6743
59	419	6742
60	425	6731
61	432	6722
62	439	6705
63	444	6677
64	450	6648
65	455	6622
66	461	6593
67	466	6568
68	473	6565
69	480	6553
70	486	6543
71	493	6537
72	501	6537
73	507	6524
74	513	6508
75	520	6502
76	528	6500
77	535	6495
78	541	6485
79	549	6485
80	555	6474
81	561	6460
82	567	6444
83	573	6429
84	580	6421
85	587	6413
86	594	6407
87	600	6394
88	606	6379
89	612	6366
90	619	6354
91	626	6348
92	632	6337
93	638	6325
94	645	6315
95	651	6304
96	657	6289
97	663	6275
98	668	6249
99	673	6227
100	679	6214
101	686	6208
102	692	6202
103	699	6193
104	705	6181
105	711	6166
106	716	6147
107	721	6129
108	727	6110
109	733	6098
110	739	6085
111	744	6069
112	750	6054
113	756	6041
114	762	6035
115	768	6022
116	773	6005
117	779	5994
118	786	5990
119	793	5982
120	798	5969
121	809	5990
122	816	5989
123	823	5983
124	830	5979
125	836	5970
126	843	5965
127	850	5960
128	858	5960
129	865	5957
130	873	5960
131	880	5957
132	887	5952
133	894	5948
134	900	5939
135	907	5930
136	913	5921
137	920	5915
138	927	5914
139	934	5905
140	940	5897
141	947	5892
142	954	5888
143	960	5878
144	968	5876
145	974	5865
146	981	5860
147	988	5855
148	995	5850
149	1002	5846
150	1008	5836
151	1014	5827
152	1021	5824
153	1028	5815
154	1032	5797
155	1039	5792
156	1046	5784
157	1052	5774
158	1058	5765
159	1063	5751
160	1070	5745
161	1077	5742
162	1084	5737
163	1091	5731
164	1097	5721
165	1103	5710
166	1110	5704
167	1117	5698
168	1124	5697
169	1131	5690
170	1137	5682
171	1144	5677
172	1151	5670
173	1157	5660
174	1161	5643
175	1166	5629
176	1172	5617
177	1178	5609
178	1185	5603
179	1192	5599
180	1198	5587
181	1203	5574
182	1210	5568
183	1216	5562
184	1222	5549
185	1227	5536
186	1232	5523
187	1238	5512
188	1244	5503
189	1251	5497
190	1257	5492
191	1263	5483
192	1270	5478
193	1277	5473
194	1285	5470
195	1293	5472
196	1300	5467
197	1307	5461
198	1314	5454
199	1321	5450
200	1328	5445
201	1335	5441
202	1342	5437
203	1349	5429
204	1355	5421
205	1361	5413
206	1368	5408
207	1375	5402
208	1382	5397
209	1389	5394
210	1397	5390
211	1403	5382
212	1409	5374
213	1416	5368
214	1422	5360
215	1428	5349
216	1433	5335
217	1437	5321
218	1444	5316
219	1453	5319
220	1460	5313
221	1465	5301
222	1470	5287
223	1476	5278
224	1481	5267
225	1488	5262
226	1495	5255
227	1501	5248
228	1506	5238
229	1511	5224
230	1517	5215
231	1523	5205
232	1533	5211
233	1537	5198
234	1543	5189
235	1549	5179
236	1555	5172
237	1561	5164
238	1568	5158
239	1575	5152
240	1582	5149
241	1590	5145
242	1597	5139
243	1604	5135
244	1611	5129
245	1617	5122
246	1623	5114
247	1630	5107
248	1636	5100
249	1642	5091
250	1648	5083
251	1655	5077
252	1661	5071
253	1669	5066
254	1674	5055
255	1679	5044
256	1685	5037
257	1691	5029
258	1697	5019
259	1702	5009
260	1707	4996
261	1711	4984
262	1716	4974
263	1722	4965
264	1729	4959
265	1735	4951
266	1741	4944
267	1747	4937
268	1754	4930
269	1761	4924
270	1767	4916
271	1773	4909
272	1779	4902
273	1786	4897
274	1793	4892
275	1801	4887
276	1807	4880
277	1814	4875
278	1820	4868
279	1826	4860
280	1832	4853
281	1839	4846
282	1845	4839
283	1851	4831
284	1857	4824
285	1864	4818
286	1871	4813
287	1878	4806
288	1885	4800
289	1892	4795
290	1899	4790
291	1906	4786
292	1913	4780
293	1920	4776
294	1928	4771
295	1934	4764
296	1941	4759
297	1947	4751
298	1953	4743
299	1960	4737
300	1967	4732
301	1974	4725
302	1980	4719
303	1987	4714
304	1993	4706
305	2000	4699
306	2006	4693
307	2013	4687
308	2020	4681
309	2026	4672
310	2032	4666
311	2039	4661
312	2046	4654
313	2052	4647
314	2058	4639
315	2065	4634
316	2072	4628
317	2078	4621
318	2085	4615
319	2091	4607
320	2098	4601
321	2104	4594
322	2110	4587
323	2116	4579
324	2122	4572
325	2128	4564
326	2135	4557
327	2140	4548
328	2146	4540
329	2150	4530
330	2157	4523
331	2164	4518
332	2172	4515
333	2179	4508
334	2186	4503
335	2192	4496
336	2199	4490
337	2205	4483
338	2212	4478
339	2220	4473
340	2227	4467
341	2234	4462
342	2240	4454
343	2244	4444
344	2249	4434
345	2255	4425
346	2261	4418
347	2267	4410
348	2274	4404
349	2280	4398
350	2287	4393
351	2295	4388
352	2302	4382
353	2308	4375
354	2314	4368
355	2321	4361
356	2327	4354
357	2334	4349
358	2340	4342
359	2347	4335
360	2352	4327
361	2357	4318
362	2363	4309
363	2367	4299
364	2372	4290
365	2379	4283
366	2386	4279
367	2394	4274
368	2400	4267
369	2406	4259
370	2410	4250
371	2415	4240
372	2422	4233
373	2428	4227
374	2435	4222
375	2441	4214
376	2447	4207
377	2454	4200
378	2461	4195
379	2468	4189
380	2474	4182
381	2481	4176
382	2487	4170
383	2495	4165
384	2501	4159
385	2508	4152
386	2515	4147
387	2522	4140
388	2529	4134
389	2536	4129
390	2542	4123
391	2549	4116
392	2556	4110
393	2563	4105
394	2570	4099
395	2576	4092
396	2583	4086
397	2590	4080
398	2597	4075
399	2604	4068
400	2611	4063
401	2617	4056
402	2624	4050
403	2631	4044
404	2638	4038
405	2644	4031
406	2650	4024
407	2656	4017
408	2664	4012
409	2670	4005
410	2676	3998
411	2683	3993
412	2690	3987
413	2698	3982
414	2706	3977
415	2713	3972
416	2720	3966
417	2727	3960
418	2733	3953
419	2738	3944
420	2743	3936
421	2749	3928
422	2756	3922
423	2762	3916
424	2769	3909
425	2775	3902
426	2781	3895
427	2786	3887
428	2793	3880
429	2798	3872
430	2804	3865
431	2810	3858
432	2817	3852
433	2824	3846
434	2831	3840
435	2838	3834
436	2844	3827
437	2851	3821
438	2857	3814
439	2864	3808
440	2871	3802
441	2878	3796
442	2885	3791
443	2893	3785
444	2899	3778
445	2906	3773
446	2913	3766
447	2919	3760
448	2926	3754
449	2932	3747
450	2939	3741
451	2946	3735
452	2953	3729
453	2959	3722
454	2966	3715
455	2972	3709
456	2979	3702
457	2986	3697
458	2993	3691
459	3000	3685
460	3007	3678
461	3013	3672
462	3020	3665
463	3027	3659
464	3032	3651
465	3037	3643
466	3041	3634
467	3047	3627
468	3054	3620
469	3059	3613
470	3066	3606
471	3072	3600
472	3079	3594
473	3086	3587
474	3093	3582
475	3101	3576
476	3108	3571
477	3115	3564
478	3121	3557
479	3128	3551
480	3134	3545
481	3139	3537
482	3145	3529
483	3151	3523
484	3156	3514
485	3163	3507
486	3170	3502
487	3176	3495
488	3183	3489
489	3189	3482
490	3195	3475
491	3200	3467
492	3207	3461
493	3214	3455
494	3219	3447
495	3226	3441
496	3233	3434
497	3240	3428
498	3246	3422
499	3254	3417
500	3261	3410
501	3266	3402
502	3271	3394
503	3278	3388
504	3283	3381
505	3289	3373
506	3294	3366
507	3300	3359
508	3307	3352
509	3315	3348
510	3322	3341
511	3328	3334
512	3333	3327
513	3338	3319
514	3344	3311
515	3350	3304
516	3356	3298
517	3363	3291
518	3369	3284
519	3375	3278
520	3380	3270
521	3386	3263
522	3391	3255
523	3397	3248
524	3403	3241
525	3411	3236
526	3418	3230
527	3425	3224
528	3431	3217
529	3437	3210
530	3444	3204
531	3451	3198
532	3457	3191
533	3464	3185
534	3470	3178
535	3477	3172
536	3483	3165
537	3490	3159
538	3496	3152
539	3501	3145
540	3508	3138
541	3515	3132
542	3521	3125
543	3528	3119
544	3534	3112
545	3539	3105
546	3545	3098
547	3553	3092
548	3559	3086
549	3565	3079
550	3572	3073
551	3578	3066
552	3584	3059
553	3591	3053
554	3598	3047
555	3606	3041
556	3612	3035
557	3619	3028
558	3625	3022
559	3632	3016
560	3638	3009
561	3645	3003
562	3650	2995
563	3655	2988
564	3662	2981
565	3668	2975
566	3677	2970
567	3684	2964
568	3691	2958
569	3697	2951
570	3702	2944
571	3709	2938
572	3716	2932
573	3724	2926
574	3729	2919
575	3736	2912
576	3742	2905
577	3749	2899
578	3755	2893
579	3761	2886
580	3768	2879
581	3775	2873
582	3780	2866
583	3787	2859
584	3794	2853
585	3801	2847
586	3808	2841
587	3815	2835
588	3822	2829
589	3828	2822
590	3833	2814
591	3838	2807
592	3842	2799
593	3850	2793
594	3857	2787
595	3863	2780
596	3870	2774
597	3877	2768
598	3884	2762
599	3890	2756
600	3898	2750
601	3905	2744
602	3912	2738
603	3919	2731
604	3925	2725
605	3932	2718
606	3939	2712
607	3946	2706
608	3961	2705
609	3968	2699
610	3974	2693
611	3980	2686
612	3986	2679
613	3993	2673
614	4000	2667
615	4008	2661
616	4015	2655
617	4022	2649
618	4029	2642
619	4036	2636
620	4043	2630
621	4049	2623
622	4055	2617
623	4062	2610
624	4068	2604
625	4075	2597
626	4081	2590
627	4088	2584
628	4095	2578
629	4102	2572
630	4109	2565
631	4116	2559
632	4122	2553
633	4128	2546
634	4134	2539
635	4139	2531
636	4145	2525
637	4152	2518
638	4159	2512
639	4165	2505
640	4171	2499
641	4177	2492
642	4184	2485
643	4190	2479
644	4197	2472
645	4204	2466
646	4211	2460
647	4219	2454
648	4226	2448
649	4234	2442
650	4240	2436
651	4246	2429
652	4252	2422
653	4258	2416
654	4264	2408
655	4269	2401
656	4275	2394
657	4280	2387
658	4286	2380
659	4291	2373
660	4296	2366
661	4303	2359
662	4311	2353
663	4317	2347
664	4324	2340
665	4330	2334
666	4336	2327
667	4342	2320
668	4347	2313
669	4354	2307
670	4360	2300
671	4366	2293
672	4372	2287
673	4379	2280
674	4385	2273
675	4392	2267
676	4398	2261
677	4406	2255
678	4413	2249
679	4421	2243
680	4428	2237
681	4435	2230
682	4442	2224
683	4448	2217
684	4455	2211
685	4461	2204
686	4467	2198
687	4473	2191
688	4479	2184
689	4485	2177
690	4492	2171
691	4500	2165
692	4506	2159
693	4513	2152
694	4520	2146
695	4527	2140
696	4532	2133
697	4539	2126
698	4545	2119
699	4551	2113
700	4557	2106
701	4564	2100
702	4570	2093
703	4576	2086
704	4581	2079
705	4588	2073
706	4595	2066
707	4602	2060
708	4609	2054
709	4617	2048
710	4623	2041
711	4630	2035
712	4637	2029
713	4644	2023
714	4650	2016
715	4655	2009
716	4661	2002
717	4668	1996
718	4677	1990
719	4683	1983
720	4689	1977
721	4695	1970
722	4701	1963
723	4707	1956
724	4713	1950
725	4720	1943
726	4726	1937
727	4732	1930
728	4739	1924
729	4746	1918
730	4752	1911
731	4759	1904
732	4766	1898
733	4772	1892
734	4782	1886
735	4788	1880
736	4794	1873
737	4801	1867
738	4806	1860
739	4812	1853
740	4820	1847
741	4825	1840
742	4832	1834
743	4838	1827
744	4845	1821
745	4851	1814
746	4857	1807
747	4865	1801
748	4871	1795
749	4877	1788
750	4885	1782
751	4892	1776
752	4898	1769
753	4903	1762
754	4908	1755
755	4914	1748
756	4921	1742
757	4927	1735
758	4934	1729
759	4941	1723
760	4948	1716
761	4955	1710
762	4961	1703
763	4966	1696
764	4972	1690
765	4978	1683
766	4984	1676
767	4991	1670
768	4997	1663
769	5003	1656
770	5010	1650
771	5017	1644
772	5024	1637
773	5031	1631
774	5038	1625
775	5044	1618
776	5049	1611
777	5054	1604
778	5059	1597
779	5064	1590
780	5072	1584
781	5082	1579
782	5089	1572
783	5096	1566
784	5102	1560
785	5109	1553
786	5116	1547
787	5124	1541
788	5132	1535
789	5139	1528
790	5146	1522
791	5152	1515
792	5158	1509
793	5166	1503
794	5171	1496
795	5176	1489
796	5182	1482
797	5189	1476
798	5195	1469
799	5201	1462
800	5208	1456
801	5216	1450
802	5222	1443
803	5229	1437
804	5235	1430
805	5241	1424
806	5247	1417
807	5253	1411
808	5260	1404
809	5266	1397
810	5272	1391
811	5279	1384
812	5285	1378
813	5292	1371
814	5299	1365
815	5304	1358
816	5310	1351
817	5317	1345
818	5324	1339
819	5332	1333
820	5339	1326
821	5346	1320
822	5351	1313
823	5356	1306
824	5363	1300
825	5368	1293
826	5376	1287
827	5380	1280
828	5385	1273
829	5390	1266
830	5397	1259
831	5404	1253
832	5411	1247
833	5418	1241
834	5425	1234
835	5432	1228
836	5438	1221
837	5445	1215
838	5451	1208
839	5457	1201
840	5463	1195
841	5469	1188
842	5476	1182
843	5483	1175
844	5489	1169
845	5496	1162
846	5505	1157
847	5512	1150
848	5519	1144
849	5526	1137
850	5533	1131
851	5539	1124
852	5545	1118
853	5552	1111
854	5559	1105
855	5566	1098
856	5572	1092
857	5578	1085
858	5584	1079
859	5592	1072
860	5598	1066
861	5605	1060
862	5612	1053
863	5619	1047
864	5626	1040
865	5634	1034
866	5640	1027
867	5647	1021
868	5652	1014
869	5659	1008
870	5664	1001
871	5668	994
872	5674	987
873	5681	981
874	5687	975
875	5694	968
876	5699	961
877	5706	955
878	5712	948
879	5717	942
880	5725	935
881	5732	929
882	5738	922
883	5743	916
884	5748	909
885	5756	903
886	5762	896
887	5768	889
888	5774	883
889	5780	876
890	5786	870
891	5792	863
892	5798	857
893	5804	850
894	5811	844
895	5818	837
896	5825	831
897	5831	824
898	5838	818
899	5845	811
900	5852	805
901	5859	799
902	5867	792
903	5873	786
904	5880	779
905	5887	773
906	5894	766
907	5900	760
908	5907	753
909	5914	747
910	5920	740
911	5927	734
912	5933	727
913	5939	721
914	5945	714
915	5950	708
916	5955	701
917	5964	695
918	5970	688
919	5977	682
920	5984	675
921	5992	669
922	5998	662
923	6005	656
924	6010	649
925	6015	643
926	6023	636
927	6030	630
928	6037	623
929	6043	617
930	6049	610
931	6055	604
932	6061	597
933	6066	591
934	6071	584
935	6078	577
936	6085	571
937	6092	565
938	6098	558
939	6105	552
940	6111	545
941	6118	539
942	6125	532
943	6132	526
944	6139	519
945	6147	513
946	6154	506
947	6160	500
948	6166	493
949	6172	487
950	6179	480
951	6185	474
952	6191	467
953	6197	461
954	6204	454
955	6210	448
956	6215	441
957	6221	435
958	6226	428
959	6231	421
960	6237	415
961	6243	408
962	6248	402
963	6256	395
964	6263	389
965	6269	382
966	6276	376
967	6282	369
968	6288	363
969	6295	356
970	6301	350
971	6308	343
972	6313	337
973	6320	330
974	6327	324
975	6334	318
976	6341	311
977	6347	305
978	6353	298
979	6358	291
980	6364	285
981	6370	278
982	6377	272
983	6383	265
984	6390	259
985	6395	252
986	6402	246
987	6408	240
988	6415	233
989	6422	227
990	6429	220
991	6436	214
992	6443	207
993	6450	201
994	6456	194
995	6463	188
996	6470	181
997	6476	175
998	6482	168
999	6488	162
1000	6497	155
1001	6503	149
1002	6507	142
1003	6511	136
1004	6516	129
1005	6521	123
1006	6525	116
1007	6531	110
1008	6537	103
1009	6543	97
1010	6549	90
1011	6556	84
1012	6563	77
1013	6570	71
1014	6577	64
1015	6583	58
1016	6589	51
1017	6594	45
1018	6600	38
1019	6607	32
1020	6613	25
1021	6620	19
1022	6627	12
1023	6634	6
1024	6641	0
